CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.67789+-2.47673*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "-0.14264+1.57925*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "0.978022+0.098066*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.29521+-1.51259*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-4.96312+6.93765*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.2895+-4.71306*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "1.72623+-0.758252*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.34679+-4.68511*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-0.5526+1.57087*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "1.60538+-0.679017*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-2.16461+3.20577*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "3.48687+-2.55077*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "11.169+-10.2867*x"
3, iterativefit, up_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.837588775453"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, -15, 0, "1.69672436909"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "1.06267527259"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "1.00919+0.394432*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.78496+-1.51212*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.670798+2.77293*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.59815+-2.38151*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "-0.0889687+1.48263*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "1.39541+-0.479276*x"
3, iterativefit, down_jesFlavorQCD, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "1.83737+-1.01971*x"
